"time","B101","B103","B104","B107","B108","B109","B110","B111","B114","B115","B116","B117","B118","B119","B123","B124","B126","B129","B130","B131","B132","B135","B136","B138","B139","B141","B144","B145","B146","B147","B148","B149","B151","B152","B153","B155","B158","B159","B160","B165","B167","B170","B173","B177","B180","B181","B182","B184","B189","B196","B199","B200","B203","B302","B318","B320","B336","B362","B790","B002","B003","B006","B007","B008","B009","B010","B011","B012","B013","B014","B015","B017","B018","B020","B022","B024","B025","B026","B029","B030","B031","B032","B033","B035","B036","B038","B039","B040","B041","B045","B046","B047","B050","B051W","B051","B052","B054","B056","B057","B058","B059","B061","B064","B065","B066","B068","B071","B073","B074","B075","B076","B081","B084","B085","B086","B090","B091","B092","B093","B094","B095","B098","B099","B033B","B051D","B051F","B051F_C1","B051F_C2","B051F_C3","B060A","B061A","B080A","B172W","B195W"
"2018-01-01 00:00",51.77,331.61,132.74,18.07,34.56,30.15,27.02,112.87,64.97,25.71,2.01,44.35,26,36.71,39.36,33.93,543.21,601.01,73.26,120.5,114.23,192.73,142.53,670.9,119.48,23.92,382.87,46.1,841.4,1015.8,0.09,111.9,176.2,10.53,307.47,135.6,15.42,77.18,855.08,447.35,1320.47,573.51,683.3,44.3,481.62,1280.04,213.51,88.43,10000,13.81,70.87,18.6,24.62,10.39,0,12.79,22.51,14.91,509.67,91.85,52.89,57.4,13.76,2.9,24,44.66,14.88,77.57,19.29,25.98,140.08,1243.77,161.05,36.86,59.82,30.19,9.22,1531.92,47.09,116.3,60.02,11.16,103.35,44.23,9.27,29.06,21.09,31.84,53.55,75.74,25.72,521.18,352.24,284.88,57.34,103.79,39.98,110,183.33,31.6,6.1,37.8,52.02,168.85,130.05,136.1,47,352.18,122.98,30.74,83.7,232.39,69.36,298.21,779.17,20.11,31.76,31.76,15.34,23.09,614.25,59.59,273.72,8.15,263.88,839.11,0,0,109,42.53,98.11,7,765.24,603.74
"2018-01-01 00:15",51.94,328.49,135.46,18.01,34.2,30.79,27.18,111.47,64.12,25.2,2.01,43.74,26,36.86,41.22,33.61,539.72,605.09,73.56,120.57,112.28,190.53,142.68,670.53,121.26,23.96,376.27,43.7,834.68,1029.95,0.08,125.68,191.53,7.76,300.5,131.25,16.69,80.45,899.38,445.04,1287.96,576.66,663.44,41.96,416.76,1274.27,160.38,93.29,10000,14.68,71.37,18.2,26.01,10.88,0,13.2,21.17,14.43,512.34,92.88,53.52,60.24,13.66,2.91,24,45.07,14.61,76.51,19.67,26.38,138.87,1234.78,165.53,36.81,55.1,30.59,9.16,1533.47,48.65,116.92,61.07,10.78,86.53,45.54,9.58,28.91,21,31.4,54.4,77.07,25.12,492.13,351.94,286.17,57.07,105.74,42.65,110,182.21,29.81,5.4,38.42,51.93,165.83,128.09,135.77,49,359.67,126.93,30.8,85.07,229.03,68.52,297.19,774.31,20.79,31.76,31.76,15.42,22.31,592.28,48.84,272.56,7.5,265.17,842.14,0,0,109,20.7,98.05,7,764.57,596.06
"2018-01-01 00:30",50.25,329.25,136.93,18.48,34.73,30.88,27.45,112.41,61.85,25.7,2.01,44.4,26,37.76,40.01,33.74,537.58,598.36,73.05,120.72,114.63,187.42,142.94,685.55,141.51,23.92,371.33,47.99,854.8,1021.62,0.08,114.93,195.22,9.78,302.54,132.79,15.58,72.45,864.7,449.88,1291.93,568.67,739.44,41.9,388.1,1282.13,144.48,90.59,10000,13.94,70.31,18.26,28.9,10.72,0,13.3,20.94,14.76,516.02,93.53,53.23,58.25,14.08,2.91,24,44.99,14.72,76.89,19.17,25.63,138.7,1237.2,162.63,35.33,57.26,27.04,9.21,1529.13,47.82,116.75,63.07,10.94,87.03,46.09,10.35,29.15,20.82,32.26,52.64,77.37,24.63,515.65,353.47,285.35,55.32,105.75,42.76,110,185.91,28.72,6.2,37.35,51.1,162.69,136.77,139.88,50,373.73,128.83,30.72,84.64,228.73,68.12,297.91,772.48,19.95,32.02,32.02,15.33,21.53,594.8,49.16,272.58,7.48,264.35,841.76,0,0,102,18.34,97.36,9,739.16,616.51
"2018-01-01 00:45",49.47,324.16,135.75,18.85,34.24,31.66,27.35,111.43,65.34,25,2.01,46.03,25,38.13,40.13,33.72,545.05,598.11,71.82,121.82,111.71,194.96,142.4,666.88,116.35,24,371.24,44.14,830.29,1013.95,0.08,124.5,179.88,6.89,310.44,133.57,15.15,81.33,851.52,430.8,1290.73,574.19,653.44,45.16,389.13,1280.02,140.8,91.39,10000,13.87,71.1,18.27,25.25,11.69,1.32,13.02,20.56,14.44,540.01,93.23,53.92,59.58,14.59,2.91,24,46.05,14.68,77.78,19.7,26.93,138.99,1244.45,163.29,38.46,54.58,27.43,9.39,1534.34,48.41,116.89,64.04,10.41,88.53,43.29,10.73,29.16,21.11,32.23,54.27,76.68,24.75,515.16,352.3,305.52,56.5,105.46,35.42,110,183.23,32.31,6,37.42,50.23,163.47,140.54,133.01,50,363.68,123.48,30.52,84.48,231.35,68.29,299.57,773.63,19.87,31.75,31.75,15.23,22.29,591.74,62.72,273.77,7.48,264.52,846.41,0,0,106,18.21,97,7,773.27,596.79
"2018-01-01 01:00",53.68,326.08,132.03,19.15,34.58,31.19,27.12,111.77,61.93,24.79,2.01,43.48,26,36.33,42,33.86,536.25,599.74,70.94,122.51,111.6,186.05,142.15,672.24,112.2,23.96,369.21,46.12,843.31,1010.36,0.09,110.54,185.63,5.39,303.64,139,15.51,72.63,846.88,440.17,1291.41,581.71,727.44,45.55,391.69,1289.29,143.29,103.8,10000,13.28,69.93,18.24,22.82,10.81,1.43,13.05,20.4,15.21,540.54,92.48,56.75,59.43,14.34,2.92,24,45.71,14.85,77.3,18.81,26.38,139.81,1239.54,167.65,35.5,56.23,30.5,8.9,1528.08,48.38,116.56,65.69,10.8,117.42,44.92,10.71,28.78,21.21,31.6,54.93,72.41,25.4,469.25,354.94,307.36,56.9,104.09,37.81,111,181.61,29.63,5.5,37.77,51.19,165.38,137.2,138.55,55,393.81,127,30.89,86.75,230.34,68.73,298.73,777.88,19.75,30.3,30.3,15.2,22.01,594.82,63.01,271.79,7.98,265.36,835.65,0,0,106,19.71,102.23,7,751.77,607.46
"2018-01-01 01:15",48.76,322.45,134.81,18.75,34.63,30.4,26.47,112.2,62.61,24.98,2.01,44.14,27,35.93,39.52,35.97,545.35,601.39,74.27,123.37,112.38,193.48,141.45,666.66,80.25,23.99,379.9,44.25,851.9,1002.78,0.08,117.97,191.1,6.32,294.35,139.92,15.23,82.01,827.56,441.56,1284.19,583.69,642.44,42.42,385.78,1282.59,146.36,101.14,10000,13.6,70.35,18.28,29.19,11.06,1.09,14.31,19.75,16.39,537.29,92.59,53.16,55.79,14.79,2.92,18,45.56,14.9,77.58,18.5,26.33,138.47,1259.39,164.24,35.34,58.04,30.14,8.99,1532.11,47.74,116.49,58.81,9.08,148.63,45.36,11.44,28.29,20.65,31.42,52.06,80.06,25.74,511.08,354.67,309.39,78.9,103,36.5,110,182.77,33.51,5.9,37.79,50.27,165.46,136.99,135.37,45,346.96,130.99,31.3,82.93,232.55,69.4,298.83,782.48,20.03,27.75,27.75,15.21,21.64,577.93,49.84,273.19,7.4,267.39,841.6,0,0,101,18.71,98.37,7,766.64,602.56
"2018-01-01 01:30",49.24,325.78,132.46,17.98,34.69,30.25,26.52,111.2,61.74,23.98,2.01,42.53,25,35.79,42.28,33.69,538.64,597.33,71.31,121.55,111.55,190.23,141.99,665.32,116.34,23.99,383.15,47.62,846.31,1001.81,0.09,113.14,191.64,8.79,307.69,139.24,15.66,72.2,814.81,437.76,1293.76,578.15,718.44,42.67,433.82,1287.59,204.56,93.42,10000,13.42,70.68,18.73,27.13,11.51,0,13.97,20.88,15.77,539.23,92.97,52.2,58.24,14.55,2.85,24,44.97,14.69,78.32,18.75,25.74,140.06,1254.96,164.72,37.76,54.86,26.93,9.07,1508.38,48.38,116.08,60.32,10.38,137.17,45.71,10.94,29.29,20.32,31.36,57.92,76.66,25.93,468.54,353.73,307.6,79.77,92.7,35.06,115,185.11,36.17,5,37.52,49.97,148.9,138.95,131.04,49,367.14,129.73,30.41,86.4,228.7,69.51,298.6,776.67,17.3,30.11,30.11,15.54,21,593.99,49.95,273.93,8.08,265.6,841.37,0,0,102,18.83,99.18,7,695.59,529.78
"2018-01-01 01:45",47.94,322.79,132.03,18.63,34.57,30.53,27.69,116.38,61.25,25.28,2.01,42.79,27,36.53,39.75,34.2,539.95,599.89,71.43,120.8,110.95,189.54,140.87,676.67,111.84,23.95,375.51,42.83,841.18,1001.95,0.09,122.16,181.96,10.77,308.53,135.47,15.5,80.82,782.91,441.58,1296.74,566.19,666.43,46.4,398.45,1281.89,164.62,92.09,10000,17.09,70.21,18.34,26.7,11.05,0.3,12.26,22.32,15.44,543.51,92.99,53.2,58.22,14.15,2.93,24,45.28,14.65,78.29,18.87,25.9,142.2,1241.3,168.55,35.78,57.53,27.48,9.22,1511.23,49.85,116.17,59.33,10.91,93.27,45.17,10.78,29.1,21.15,31.61,52.63,75.93,25.58,459.28,353.14,306.38,74.78,100.77,35.5,116,188.98,33.83,5.1,37.14,50.98,147.52,145.36,128.83,39,393,128.73,31.44,83.46,230.57,69.4,299.23,776.68,17.44,30.8,30.8,15.39,21.71,591.61,67.27,273.23,8.06,264.38,842.76,0,0,102,19.97,98.78,7,727.6,520.24
"2018-01-01 02:00",48.82,330.68,132.89,18.37,34.54,30.23,27.09,112.53,62.79,24.54,2.01,45.79,26,37.75,38.02,34.46,546.78,599.07,75.22,121.49,111.87,196.19,141,683.3,104.75,24.19,381.53,48.93,840.86,1005.08,0.08,119.92,192.28,12.56,303.68,133.27,15.35,74.52,780.67,446.72,1294.5,584.39,718.43,28.52,388.96,1282.42,139.66,93.82,10000,13.95,70.93,18.28,26.19,10.28,0.17,13.88,21.33,14.75,540.01,92.7,53.34,57.79,13.65,2.92,24,45.78,14.85,78.64,19.15,26.15,139.13,1255.22,163.79,35.48,56.82,31.2,9.17,1517.07,48.22,116.93,58.72,10.55,84.13,46.59,11.23,28.86,21.36,32.1,55.06,78.98,25.68,459.69,354.98,307.67,74.65,103.97,35.96,116,191.93,34.33,6.4,38.05,51.26,147.35,141.9,130.41,65,364.85,135.41,31.54,83.43,231.87,69.62,298.95,780.76,18.32,30.53,30.53,15.27,22.17,591.05,59.06,272.67,8.05,265.67,841.05,0,0,119,19.24,98.53,7,749.62,513.02
"2018-01-01 02:15",52.11,327.74,130.05,18.14,34.67,30.6,26.65,111.85,60.53,25.15,2.01,45.19,25,39.07,41.45,33.81,535.71,596.36,71.69,120.62,110.5,186.55,140.67,689.47,116.3,24,380.14,42.96,817.14,1005.21,0.09,123.46,197.67,11.59,304.51,125.26,15.62,80.07,778.08,439.42,1279.62,582.36,708.43,30.09,381.98,1288.86,138.7,103.3,10000,13.33,70.88,18.37,24.44,10.07,0.44,13.78,22.83,14.57,539.43,92.61,55.67,58.81,13.21,2.92,24,46.62,14.95,77.61,19.42,26.86,141.73,1250.98,161.71,37.79,54.71,30.83,9.27,1515.36,47.88,117.37,58.82,10.76,90.07,45.38,11.03,28.95,21.55,30.3,53.11,74.87,24.26,470.34,351.13,296.82,74.48,102.79,38.09,110,188.63,36.97,5.1,38.32,50.41,145.71,138.18,130.81,41,378.97,129.62,31.63,86.8,229.76,70.82,298.88,779.54,18.13,30.58,30.58,15.11,22.28,588.85,49.51,272.17,7.56,265.82,839.68,0,0,107,20.27,98.19,9,767.58,516.68
