"time","B101","B103","B104","B107","B108","B109","B110","B111","B114","B115","B116","B117","B118","B119","B123","B124","B126","B129","B130","B131","B132","B135","B136","B138","B139","B141","B144","B145","B146","B147","B148","B149","B151","B152","B153","B155","B158","B159","B160","B165","B167","B170","B173","B177","B180","B181","B182","B184","B189","B196","B199","B200","B203","B302","B318","B320","B336","B362","B790","B002","B003","B006","B007","B008","B009","B010","B011","B012","B013","B014","B015","B017","B018","B020","B022","B024","B025","B026","B029","B030","B031","B032","B033","B035","B036","B038","B039","B040","B041","B045","B046","B047","B050","B051W","B051","B052","B054","B056","B057","B058","B059","B061","B064","B065","B066","B068","B071","B073","B074","B075","B076","B081","B084","B085","B086","B090","B091","B092","B093","B094","B095","B098","B099","B033B","B051D","B051F","B051F_C1","B051F_C2","B051F_C3","B060A","B061A","B080A","B172W","B195W"
"2018-01-01 02:30",48.09,324.85,133.56,18.12,34.21,31.38,26.61,115.3,60.65,24.91,2.01,45.9,26,39.2,38.77,34.79,549.36,598.68,72.55,120.34,112.84,195.15,141.09,666.45,112.71,23.96,371.45,47.65,833.62,1002.55,0.08,120.7,182.59,6.02,303.73,123.33,15.29,75.93,824.48,444,1287.06,568.49,681.43,36.23,378.05,1272.25,138.9,98.95,10000,15.1,71.04,18.35,26.97,10.34,0,13.06,20.64,15.19,541.24,91.91,55.26,56.97,13.41,2.92,24,45.79,15.59,71.18,19.3,25.48,140.6,1276.53,160.14,35.38,56.99,28.04,9.19,1521.96,47.14,116.75,58.8,9.93,132.75,45.9,10.72,29.2,20.85,31.96,55.09,74.48,23.61,500.97,354.76,308.04,72.92,99.22,36.01,110,183.49,33.93,5.2,38.33,51.8,145.88,138.62,130.76,48,354.14,129.47,31.71,82.96,230.41,70.93,299.04,775.28,17.87,30.49,30.49,15.31,21.66,589.27,49.76,273.44,7.47,266.04,845.46,0,0,109,19.38,98.09,7,720.95,510.95
"2018-01-01 02:45",48.48,326.32,135.48,18.67,34.7,30.07,27.16,112.38,60.55,25.36,2.01,43.73,26,38.31,39.36,34.08,548.03,594.7,72.61,120.82,113.23,190.93,124.25,665.69,103.7,23.99,369.26,43.53,842.83,1003.89,0.08,126.4,191.99,5.99,319.77,121.46,15.8,74.69,832.67,441.2,1287.75,567.37,710.43,30.28,369.95,1279.04,137.17,97.88,10000,13.77,70.57,18.34,29.66,10.51,0.4,12.66,20.8,15.32,540.52,92.42,52.9,55.37,13.09,2.92,24,46.8,14.65,71.31,19.56,25.74,141.82,1260.29,154.9,35.44,57.13,27.32,9.01,1491.51,50.19,117.47,64.05,10.8,91.8,46.97,11.14,28.99,25.39,31.35,55.82,76.31,23.38,469.9,352.43,299.33,75,100.07,35.43,110,184.91,35.37,6,38.73,51.68,147.73,138.46,132.06,49,345.42,131.41,32.08,86.56,230.14,70.74,299.22,775.89,17.99,30.57,30.57,15.74,21.01,587.98,54.96,270.69,7.63,268.33,835.98,0,0,105,19.59,98.13,7,739.59,527.23
"2018-01-01 03:00",47.82,332.48,132.73,18.7,34.94,30.35,26.73,111.09,62.97,25.13,2.01,44.37,28,37.25,39.98,33.86,541.99,596.43,74.19,121.09,113.6,191.98,141.88,667.77,117.73,24.01,371.37,47.75,842.3,1006.94,0.08,115.94,205.65,6.88,298.13,122.21,16.68,80.51,833.27,442.68,1288.36,597.39,686.43,30.76,370.56,1270.87,136.02,91.32,10000,13.76,71.05,18.38,23.35,10.78,0,11.96,21.15,14.78,539.96,92.07,53.12,57.59,13.45,2.92,24,46.47,14.72,70.31,18.7,25.58,136.54,1269.83,156.73,37.63,56.04,30.22,8.92,1502.97,47.46,117.14,61.23,10.57,83.67,46.73,11.11,29.8,21.21,31.37,56.32,78.35,23.54,446.57,355.13,307.6,73.4,99.67,37.14,111,185.23,35.84,5.3,37.89,51.2,145.25,135.17,138.53,51,358.77,131.49,43.69,83.9,229.87,70.91,298.24,781.93,18.58,31.27,31.27,15.6,21.93,588.71,66.02,273.9,7.7,265.6,835.16,0,0,108,20.51,97.91,7,772.06,528.72
"2018-01-01 03:15",52.6,326.71,133.32,18.18,34.65,29.48,26.57,112.11,64.18,24.35,2.01,44.71,26,39.15,37.94,34.55,543.69,583.57,70.85,122.06,113.84,194.32,141.16,684.22,111.25,24,369.47,43.16,848.73,1003.4,0.09,125.38,194.43,8.34,299.59,130.24,16.67,73.27,840.32,446.96,1292.65,572.34,675.42,30.86,365.24,1273.28,136.83,94.34,10000,13.75,70.78,18.37,24.94,10.19,0,12.13,21.45,15.42,538.87,91.17,53.14,60.58,13.62,2.92,23,47.17,14.52,70.65,18.89,26.3,127.57,1276.79,176.63,35.4,55.96,31.12,9,1509.83,47.35,117.03,57.97,10.95,87.42,47.83,11.29,30.08,21,31.49,55.39,77.09,23.61,470.9,353.32,296.1,72.55,100.15,36.83,111,186.5,35.01,5.5,38.57,51.54,145.01,138.95,136.76,45,339.84,134.51,32.2,84.24,232.2,70.97,299.25,779.01,18.33,31.71,31.71,15.41,21.51,593.52,49.39,272.67,7.58,265.1,836.74,0,0,114,19.66,98.98,7,746.66,512.08
"2018-01-01 03:30",48.36,325.2,134.33,18.05,34.48,30.17,26.55,110.57,60.61,24.54,2.01,46.05,26,37.69,40.6,35.01,538.95,584.11,72.18,122.6,115.98,189.05,131.73,672.26,123.64,23.97,370.99,47.78,851.35,1009.95,0.09,116.11,189.96,9.77,306.47,131.73,14.89,81.75,810.19,439.79,1282.8,582.04,701.42,35.94,357.42,1266.87,136.53,100.3,10000,13.38,70.4,18.53,27.99,10.33,0,13.04,20.53,14.24,537.31,93.5,52.74,66.22,12.96,2.91,24,46.46,14.81,71.93,19.23,26.2,130.68,1271.74,158.53,35.37,56.23,29.3,9.02,1495.93,47.58,117.53,59.2,9.85,87.46,45.73,11.48,29.54,20.72,30.75,54.81,76.82,23.45,479.02,353.12,307.47,73.72,98.79,35.82,116,188.67,36.22,5.2,37.86,49.76,145.71,138.02,138.94,61,359.81,130.74,32.81,85.71,229.63,70.77,298.8,778.89,18.07,31.56,31.56,15.49,21.49,590.03,49.68,273.43,7.68,265.47,841.56,0,0,102,21.74,98.02,7,725.87,521.01
"2018-01-01 03:45",47.98,328.06,131.25,18.04,34.88,30.73,26.96,110.99,61.02,24.65,2.01,45.36,28,38.61,38.59,34.19,548.17,582.59,73.02,121.72,121.64,197.92,130.91,660.93,112.6,24.01,369.72,42.37,862.36,1003.79,0.08,129.11,203.43,10.69,300.16,127.47,15.42,75.14,836.18,442.66,1266.35,564,688.21,28.58,382.55,1259.57,166.6,94.65,10000,13.9,71.67,18.63,31.82,10.46,0,12.17,20.12,14.65,537.5,91.87,56.26,64.75,12.89,2.91,24,44.67,14.8,70.62,18.69,25.27,128.78,1262.48,157.98,37.6,57.54,27.44,9.29,1478.95,47.76,118.15,60.77,11.29,121.35,46.74,11.96,29.21,21.27,30.87,57.62,73.55,23.55,469.9,354.36,295.1,74.09,99.7,35.85,115,191.47,34.93,5,38.04,49.81,146.2,146.72,136.13,49,364.87,134.98,31.45,83.49,229.97,70.67,298.77,777.09,17.63,31.98,31.98,15.51,22.09,590.53,49.69,272.18,7.84,264.1,830.82,0,0,99,23.4,99.21,9,760.34,510.49
"2018-01-01 04:00",47.86,330.4,132.48,18.33,34.63,30.57,26.85,112.41,60.97,24.82,2.01,43.29,26,38.1,37.49,33.91,543.2,582,73.95,121.65,114.61,189.4,143.45,674.71,110.89,24,381.63,48.57,837.68,1007.38,0.09,123.32,202.88,8.64,301.04,125.7,14.97,81.62,836.28,442.07,1265.38,584.7,687.45,27.91,421.42,1259.64,201.87,96.15,10000,14.12,71.44,18.45,25.44,10.87,0,13.12,20.76,15.01,526.19,92.69,55.81,64.49,13.28,2.92,24,46.48,14.54,70.58,18.45,26.67,129.48,1264.46,158.56,35.5,55.37,28.69,8.93,1472.13,48.5,117.39,58.23,10.6,86.44,46.15,12.29,29.64,21.17,31.05,56.21,79.9,23.7,463.24,354.62,309.87,72.98,97.38,35.85,111,190.75,34.17,5.9,38.99,50.47,146.78,143.26,139.24,52,339.43,133.18,31.28,86.24,228.62,70.84,298.64,779.73,17.68,31.72,31.72,16.08,21.31,591.92,58.05,272.96,7.36,267.87,832.98,0,0,104,20.76,99.05,7,759.42,493.05
"2018-01-01 04:15",49.53,327.16,133.04,18.19,34.18,30.73,27.09,111.84,60.23,24.02,2.01,42.35,25,36.19,40.29,33.87,547.41,581.36,74.36,120.61,113.14,195.02,138.53,669.65,123.72,24.04,381.24,43,854.93,1019.67,0.08,128.89,192.12,11.07,301.43,121.42,14.97,76.87,856.59,441.93,1259.45,576.11,697.44,28.22,371.61,1257.89,157.1,92.37,10000,16.27,71.38,18.5,25.1,10.28,0,13.53,20.47,15.68,524.82,91.85,52.99,61.2,12.96,2.92,24,45.94,14.43,71.19,20.17,26.62,127.69,1295.03,172.5,35.16,58.44,31.06,9.05,1468.79,47.4,116.8,58.31,11.26,88.81,47.35,11.52,30.03,21.18,31.13,56.19,78.07,25.08,477.1,355.39,298.39,75.14,97.38,35.77,110,185.35,36.42,5.3,38.27,47.91,145.57,152.45,136.4,45,390.72,134.85,31.21,84.29,225.78,71.04,299.82,783.38,17.63,30.65,30.65,15.79,21.3,588.89,62.05,272.18,7.51,267.39,835.65,0,0,113,21.12,98.65,7,819.8,489.17
"2018-01-01 04:30",51.33,325.39,130.2,18.13,34.48,30.26,27.12,110.18,62.03,25.22,2.01,40.97,25,36.58,38.35,33.85,552.42,580.62,73.6,120.69,114.81,200.49,116.32,665.27,112.72,24.02,385.34,47.85,857.54,1008.89,0.08,127.35,199.33,8.67,305.96,123.84,15.05,81.18,812.37,444.42,1254.6,588.68,706.44,35.49,349.45,1264.21,135.82,101.1,10000,13.85,71.16,18.33,24.47,10.54,0,12.39,20.33,14.48,532.76,92.43,52.87,59.46,12.99,2.92,24,45.54,14.68,71.32,19.42,26.19,127.48,1290.4,170.22,36.52,55.29,29.88,9.05,1456.54,47.81,116.71,63.02,10.03,88.14,47.26,11.51,29.86,20.84,31.2,55.74,77.04,25.15,483.99,351.83,306.77,73.16,97.47,35.84,112,184.64,34.49,5.9,37.93,48.73,146.59,149.71,139.25,43,370.4,136.16,31.6,85.02,225.54,70.88,298.37,782.97,17.76,31.02,31.02,15.71,21.58,587.16,50,271.19,7.64,264.77,836.52,0,0,108,20.16,97.76,7,773.97,470.82
"2018-01-01 04:45",48.43,330.16,132.83,18.21,34.64,30.78,26.97,112.05,59.51,24.36,2.01,42.45,25,36.29,39.4,34.06,552.43,579.7,73.54,119.77,113.29,200.61,150.55,676.04,108.39,23.99,375.43,42.97,854.24,1007.86,0.08,123.24,207.93,10.7,300.77,131.98,16.55,75.48,824.65,443.13,1260.26,591.65,656.44,28.59,351,1263.66,135.63,98.72,10000,14.9,71.19,18.49,29.87,9.95,0,11.89,20.94,14.78,532.48,91.69,53.04,56.55,13.07,2.92,24,45.79,14.75,75.12,19.12,26.46,122.69,1278.03,160.51,36.35,55.8,27.52,9.07,1458.08,49.52,116.8,65.25,11.06,88.16,47.71,11.83,29.84,21.1,31.12,54.87,78.08,25.08,463.13,353.92,295.98,69.2,98.77,35.84,111,186.77,34.58,5.2,37.93,48.79,144.71,131.6,137.67,55,364.49,135.13,32.24,84.05,224.57,70.91,300.23,778.11,17.76,30.97,30.97,15.94,21.33,591.18,49.49,273.15,7.88,264.98,838.11,0,0,101,21.97,97.58,7,779.45,486.71
"2018-01-01 05:00",47.7,326.77,130.92,18.25,34.63,30.47,26.87,112.29,60.84,24.84,2.01,45.11,26,35.16,38.23,34,556.04,580.66,72.53,119.97,113.08,205.04,126.52,669.44,111.46,24,380.97,47.79,860.37,1019.83,0.09,121.97,192.01,9.91,300.19,126.88,17.22,81.18,834.78,440.07,1262.24,567.74,703.44,28.54,352,1261.92,135.84,97.71,10000,13.66,70.44,18.43,28.46,10.54,0,12.28,20.92,16.08,531.76,93.03,53.2,58.85,13.24,2.92,24,45.86,14.65,76.94,19.18,26.68,120.9,1297.16,158.03,35.28,57.61,28.71,9.04,1453.96,47.15,116.92,60.13,10.25,88.62,48.11,11.59,29.64,20.93,31.1,58.43,77.12,24.09,492.54,354.08,305.26,70.28,98.16,35.84,110,186.23,37.73,5.6,37.65,48.92,146.35,148.13,139.37,43,383.03,135.6,32.12,84.58,224.35,70.27,298.07,780.32,18.66,30.89,30.89,15.65,22.04,590.81,49.74,270.92,7.52,263.26,837.84,0,0,111,23.98,97.75,7,770.27,485.84
"2018-01-01 05:15",47.9,330.89,129.49,18.1,34.59,30.97,27,110.28,59.81,24.46,2,43.13,25,35.62,37.19,34.16,546.35,578.96,71.66,121.03,111.9,195.71,139.19,662.72,102.17,24.04,373.71,42.84,843.64,1010.73,0.09,127.38,191.93,6,299.6,124.08,15.35,73.48,831.74,446.24,1263.11,593.24,718.44,31.02,348.09,1271.12,135.43,99.68,10000,13.86,71.73,18.42,23.57,10.17,0,12,21.04,15.25,532.14,91.75,56.33,58.05,12.83,2.91,24,44.93,14.41,77,19.04,25.42,122.2,1267.39,165.31,35.48,55.02,31.52,9.35,1460.42,47.36,116.65,59.03,10.9,89.71,46.71,11.45,29.11,21.22,31.69,55.83,76.74,24.94,475.07,353.3,299.16,71.11,97.52,35.83,115,190.62,34.76,5.2,38.96,47.66,144.84,134.19,139.38,49,370.45,132.63,32.25,85.38,224.73,69.46,298.55,782.37,17.84,30.64,30.64,15.94,21.87,593.21,61.04,274.29,7.71,268.16,837.9,0,0,110,21.72,97.95,9,808.76,488.25
"2018-01-01 05:30",52.82,325.64,135.14,18.2,34.68,30.35,26.93,112.44,61.75,25.87,2,43.62,27,35.7,40.5,34.76,555.48,579.31,71.36,120.81,111.09,203.55,141.5,673.59,117.36,24.04,372.17,47.59,851.26,1009.25,0.09,120.16,215.05,9.27,310.11,126.31,15.43,84.17,812.77,444.69,1255.75,590.19,680.44,37.47,346.8,1272.75,134.34,99.66,10000,13.32,71.43,18.35,25.97,10.56,0,11.46,20.85,14.42,537.68,93.03,54.85,59.2,12.91,2.91,25,46.29,14.48,76.74,19.09,25.97,122.57,1299.24,176.29,37.21,57.85,30.31,9.06,1466.31,46.57,116.83,58.6,10.35,89.93,46.88,11.75,29.95,21.24,32.09,61.69,75.94,25.65,498.77,355.67,308.91,68.92,96.42,35.86,116,188.52,34.14,4.5,40.81,48.34,142.86,142.19,139.25,43,390.94,133.1,31.8,84.27,225.57,69.68,297.65,789.27,17.65,29.97,29.97,15.8,21.23,598.13,60.2,272.37,8.08,266.91,838.11,0,0,99,28.48,97.53,7,806.79,491.53
"2018-01-01 05:45",48.45,328.51,130.64,18.26,34.12,30,27.27,112.56,61.79,24.41,2,43.96,25,35.35,37.61,35.25,550.96,577.32,71.45,121.02,114.24,198.93,121.85,664.18,111,24.03,363.3,44.78,855.63,1015.79,0.09,135.35,191.67,8.93,299.18,127.63,15.41,73.14,827.03,444.31,1261.65,582.05,690.44,28.92,346.24,1269.5,135.04,98.38,10000,13.66,70.71,18.81,30.55,10.08,0,12.55,19.92,14.62,535.31,92.94,52.94,58.27,13.9,2.9,24,44.67,14.72,77.24,19.51,25.53,122.42,1305.21,160.25,35.31,55.4,27.36,9.18,1471.72,48.51,116.74,56.75,10.61,90.48,47.05,11.38,30.09,20.51,30.75,65.15,76.74,25.43,452.78,356.74,296.37,72.59,96.97,35.97,117,192.04,36.17,5.4,39.68,48.45,145.83,135.75,137.71,52,366.04,134.42,30.92,86.08,226.32,69.53,298.29,780.65,17.75,30.78,30.78,15.67,21.6,598.77,49.42,270.58,7.34,265.37,834.78,0,0,105,32.36,97.96,7,794.96,477.73
